,,,,,Overall,Overall,Overall,Overall,Overall,Bowls,Bowls,Bowls,Bowls,Bowls,SRS,SRS,,,
Rk,School,From,To,Yrs,G,W,L,T,Pct,G,W,L,T,Pct,SRS,SOS,AP,CC,Notes
213,Missouri,1901,1906,6,51,20,28,3,.422,0,0,0,0,,-6.16,-3.80,0,0,
214,Cumberland,1903,1905,2,13,7,5,1,.577,0,0,0,0,,5.07,-0.79,0,0,
215,Wabash,1904,1905,2,17,8,9,0,.471,0,0,0,0,,3.10,0.32,0,0,
216,Lawrence,1905,1905,1,10,7,3,0,.700,0,0,0,0,,3.09,-1.91,0,0,
217,Washburn,1905,1905,1,10,7,3,0,.700,0,0,0,0,,0.99,-3.71,0,0,
218,Wesleyan (CT),1882,1905,24,217,92,118,7,.440,0,0,0,0,,0.37,3.72,0,0,
219,Beloit,1894,1905,9,85,39,36,10,.518,0,0,0,0,,-1.63,-1.71,0,0,
220,Bates,1901,1905,3,21,10,8,3,.548,0,0,0,0,,-1.85,-2.20,0,0,
221,Knox,1899,1905,5,52,27,23,2,.538,0,0,0,0,,-1.90,-3.67,0,0,
222,Maine,1904,1905,2,16,8,7,1,.531,0,0,0,0,,-1.90,-2.21,0,0,
223,Bowdoin,1896,1905,7,66,33,30,3,.523,0,0,0,0,,-3.11,-2.87,0,0,
224,Vermont,1901,1905,5,48,21,22,5,.490,0,0,0,0,,-3.55,-1.61,0,0,
225,Washington (MO),1902,1905,4,39,16,20,3,.449,0,0,0,0,,-4.20,-1.88,0,0,
226,Tufts,1877,1905,17,178,70,103,5,.407,0,0,0,0,,-6.22,-2.65,0,0,
227,New Hampshire,1904,1905,2,15,4,9,2,.333,0,0,0,0,,-11.44,-5.52,0,0,
228,Coe,1905,1905,1,9,1,7,1,.167,0,0,0,0,,-18.57,-4.35,0,0,
229,Ohio State,1904,1904,1,11,6,5,0,.545,0,0,0,0,,0.57,-1.89,0,0,
230,Franklin & Marshall,1889,1904,7,62,24,31,7,.444,0,0,0,0,,-6.68,-3.65,0,0,
231,Colby,1904,1904,1,7,2,4,1,.357,0,0,0,0,,-8.02,-1.16,0,0,
232,Nashville,1904,1904,1,9,1,7,1,.167,0,0,0,0,,-11.26,-0.71,0,0,
233,Tennessee Medical College,1904,1904,1,6,2,4,0,.333,0,0,0,0,,-13.94,-2.60,0,0,
234,Lombard,1903,1903,1,8,5,3,0,.625,0,0,0,0,,-2.35,-2.72,0,0,
235,Simpson,1902,1903,2,10,3,7,0,.300,0,0,0,0,,-5.53,1.87,0,0,
236,Cornell College,1903,1903,1,9,1,8,0,.111,0,0,0,0,,-14.48,-2.14,0,0,
237,Union (NY),1894,1902,3,18,3,15,0,.167,0,0,0,0,,-10.45,3.85,0,0,
238,Trinity (CT),1887,1901,15,126,50,62,14,.452,0,0,0,0,,-4.52,-2.66,0,0,
239,Iowa,1899,1899,1,9,8,0,1,.944,0,0,0,0,,15.29,-2.27,0,0,
240,Indiana,1899,1899,1,8,6,2,0,.750,0,0,0,0,,4.75,-5.13,0,0,
241,MIT,1882,1899,12,77,27,48,2,.364,0,0,0,0,,-5.20,0.64,0,0,
242,Lake Forest,1893,1899,5,47,17,24,6,.426,0,0,0,0,,-7.97,-3.29,0,0,
243,Minnesota,1892,1895,4,25,21,4,0,.840,0,0,0,0,,11.23,-0.42,0,0,
244,Purdue,1892,1895,4,32,25,6,1,.797,0,0,0,0,,10.23,-1.26,0,0,
245,Wisconsin,1892,1895,4,28,18,9,1,.661,0,0,0,0,,7.05,1.03,0,0,
246,Illinois,1892,1895,4,34,18,11,5,.603,0,0,0,0,,2.59,-4.66,0,0,
247,Chicago,1892,1895,4,60,38,18,4,.667,0,0,0,0,,2.27,-3.32,0,0,
248,Northwestern,1892,1895,4,42,18,19,5,.488,0,0,0,0,,-2.88,-1.86,0,0,
249,WPI,1888,1893,2,11,3,7,1,.318,0,0,0,0,,-12.11,-1.48,0,0,
250,Springfield,1891,1892,2,21,9,11,1,.452,0,0,0,0,,-0.79,0.43,0,0,
251,Stevens,1872,1891,19,123,36,74,13,.346,0,0,0,0,,-4.24,-0.35,0,0,
252,Haverford,1891,1891,1,6,0,6,0,.000,0,0,0,0,,-23.89,-1.73,0,0,
